,Normandie,Nord,Grand Est,Bourgogne,Auvergne,PACA,Occitanie,Ile de France,Aquitaine,Pays de la Loire,Bretagne,Centre Val de Loire
zemmour,0,5,3,2,2,0,4,0,4,7,0,7
lepen,0,0,0,0,0,2,3,0,1,5,0,5
macron,4,5,17,3,3,1,9,1,13,22,2,22
pecresse,3,1,0,1,0,5,16,6,18,2,0,2
hidalgo,0,0,1,0,0,0,4,5,1,7,2,7
melenchon,0,1,1,0,0,0,0,0,4,15,0,14
jadot,2,1,2,0,1,0,4,0,4,8,0,8
autres,4,2,2,3,3,3,6,0,6,0,0,0
