,immigration,economie,securite,gouvernement,candidats,delinquance,environnement_cat_nat,environnement,europe,pouvoir_dachat,education,violence_aux_femmes,emploi,retraite,industrie,mobilite_transport
Normandie,4.49438202247191,1.1235955056179776,8.98876404494382,22.47191011235955,10.112359550561797,6.741573033707865,5.617977528089887,4.49438202247191,1.1235955056179776,5.617977528089887,10.112359550561797,0.0,7.865168539325842,1.1235955056179776,5.617977528089887,4.49438202247191
Nord,3.7209302325581395,5.116279069767442,7.906976744186046,28.837209302325583,6.511627906976744,4.186046511627907,3.255813953488372,2.3255813953488373,2.7906976744186047,6.976744186046512,4.651162790697675,0.46511627906976744,8.837209302325581,1.8604651162790697,3.255813953488372,9.30232558139535
Grand Est,0.9244992295839755,6.471494607087827,8.628659476117104,20.184899845916796,8.166409861325114,3.8520801232665636,3.0816640986132513,5.084745762711865,5.3929121725731894,8.166409861325114,10.015408320493066,2.465331278890601,7.704160246533127,1.386748844375963,2.311248073959938,6.163328197226503
Bourgogne,0.6329113924050633,5.063291139240507,10.126582278481013,21.518987341772153,5.69620253164557,2.5316455696202533,7.59493670886076,6.329113924050633,1.89873417721519,5.063291139240507,8.227848101265822,2.5316455696202533,7.59493670886076,0.6329113924050633,3.79746835443038,10.759493670886076
Auvergne,0.0,3.75,10.0,13.750000000000002,12.5,5.0,2.5,3.75,2.5,20.0,5.0,3.75,5.0,2.5,1.25,8.75
PACA,0.0,3.571428571428571,21.428571428571427,3.571428571428571,3.571428571428571,25.0,3.571428571428571,0.0,14.285714285714285,10.714285714285714,0.0,0.0,7.142857142857142,3.571428571428571,0.0,3.571428571428571
Occitanie,1.6,2.0,7.6,26.400000000000002,11.200000000000001,4.8,2.4,3.2,6.4,11.600000000000001,2.4,0.0,11.200000000000001,4.0,2.4,2.8000000000000003
Ile de France,0.0,5.769230769230769,23.076923076923077,10.576923076923077,4.807692307692308,10.576923076923077,0.0,0.0,0.9615384615384616,9.615384615384617,11.538461538461538,1.9230769230769231,2.8846153846153846,3.8461538461538463,0.0,14.423076923076922
Aquitaine,0.5730659025787965,7.736389684813753,8.022922636103152,19.484240687679083,8.882521489971348,4.584527220630372,1.7191977077363898,1.4326647564469914,1.4326647564469914,16.9054441260745,5.730659025787966,1.146131805157593,13.18051575931232,3.7249283667621778,1.7191977077363898,3.7249283667621778
Pays de la Loire,0.1984126984126984,7.936507936507936,5.555555555555555,21.626984126984127,6.15079365079365,4.365079365079365,1.3888888888888888,4.365079365079365,1.3888888888888888,15.079365079365079,7.341269841269842,0.1984126984126984,13.690476190476192,2.1825396825396823,1.984126984126984,6.547619047619048
Bretagne,0.0,18.51851851851852,0.0,29.629629629629626,0.0,7.4074074074074066,0.0,0.0,0.0,22.22222222222222,7.4074074074074066,0.0,7.4074074074074066,0.0,0.0,7.4074074074074066
Centre Val de Loire,0.0,3.571428571428571,13.095238095238097,15.476190476190476,13.095238095238097,9.523809523809524,2.380952380952381,2.380952380952381,1.1904761904761905,11.904761904761903,5.952380952380952,3.571428571428571,4.761904761904762,3.571428571428571,1.1904761904761905,8.333333333333332
