,Normandie,Nord,Grand Est,Bourgogne,Auvergne,PACA,Occitanie,Ile de France,Aquitaine,Pays de la Loire,Bretagne,Centre Val de Loire
zemmour,9,3,3,0,4,5,5,0,6,6,0,4
lepen,8,3,0,0,0,3,5,0,12,5,0,2
macron,0,2,21,3,2,3,15,0,17,20,0,3
pecresse,0,16,1,2,1,0,7,5,10,6,0,3
hidalgo,1,8,4,0,0,3,10,2,5,0,0,0
melenchon,2,0,0,0,0,0,5,0,5,3,0,0
jadot,0,0,0,1,3,0,2,0,3,0,0,2
autres,1,18,5,2,2,1,7,0,8,2,2,4
