,immigration,economie,securite,gouvernement,candidats,delinquance,environnement_cat_nat,environnement,europe,pouvoir_dachat,education,violence_aux_femmes,emploi,retraite,industrie,mobilite_transport
Normandie,0.0,4.761904761904762,9.523809523809524,28.57142857142857,9.523809523809524,19.047619047619047,4.761904761904762,4.761904761904762,0.0,4.761904761904762,9.523809523809524,0.0,0.0,4.761904761904762,0.0,0.0
Nord,0.0,5.154639175257731,3.0927835051546393,43.29896907216495,0.0,5.154639175257731,3.0927835051546393,1.0309278350515463,5.154639175257731,6.185567010309279,8.24742268041237,0.0,12.371134020618557,0.0,1.0309278350515463,6.185567010309279
Grand Est,0.0,12.751677852348994,4.026845637583892,16.778523489932887,7.38255033557047,3.3557046979865772,4.026845637583892,5.369127516778524,4.697986577181208,16.10738255033557,9.395973154362416,0.0,12.751677852348994,0.6711409395973155,2.013422818791946,0.6711409395973155
Bourgogne,0.0,1.9607843137254901,9.803921568627452,23.52941176470588,5.88235294117647,7.8431372549019605,3.9215686274509802,5.88235294117647,7.8431372549019605,11.76470588235294,3.9215686274509802,3.9215686274509802,3.9215686274509802,0.0,1.9607843137254901,7.8431372549019605
Auvergne,0.0,4.3478260869565215,0.0,4.3478260869565215,8.695652173913043,0.0,8.695652173913043,17.391304347826086,17.391304347826086,13.043478260869565,13.043478260869565,0.0,8.695652173913043,0.0,4.3478260869565215,0.0
PACA,0.0,8.333333333333332,8.333333333333332,25.0,8.333333333333332,16.666666666666664,0.0,0.0,0.0,16.666666666666664,8.333333333333332,0.0,8.333333333333332,0.0,0.0,0.0
Occitanie,1.5267175572519083,1.5267175572519083,12.213740458015266,20.610687022900763,16.793893129770993,3.816793893129771,3.816793893129771,7.633587786259542,1.5267175572519083,6.106870229007633,8.396946564885496,2.2900763358778624,6.106870229007633,3.0534351145038165,0.0,4.580152671755725
Ile de France,0.0,5.263157894736842,26.31578947368421,7.894736842105263,7.894736842105263,10.526315789473683,2.631578947368421,0.0,0.0,5.263157894736842,7.894736842105263,5.263157894736842,10.526315789473683,5.263157894736842,2.631578947368421,2.631578947368421
Aquitaine,1.1363636363636365,6.8181818181818175,10.227272727272728,18.181818181818183,12.5,4.545454545454546,3.4090909090909087,3.4090909090909087,5.681818181818182,11.363636363636363,3.4090909090909087,2.272727272727273,11.363636363636363,3.4090909090909087,0.0,2.272727272727273
Pays de la Loire,0.7575757575757576,6.0606060606060606,5.303030303030303,25.0,7.575757575757576,6.0606060606060606,2.272727272727273,5.303030303030303,0.7575757575757576,10.606060606060606,6.0606060606060606,0.7575757575757576,12.878787878787879,3.0303030303030303,0.0,7.575757575757576
Bretagne,0.5847953216374269,4.093567251461988,9.35672514619883,26.31578947368421,5.847953216374268,4.678362573099415,2.3391812865497075,4.678362573099415,3.508771929824561,15.204678362573098,8.187134502923977,2.3391812865497075,6.432748538011696,0.5847953216374269,1.1695906432748537,4.678362573099415
Centre Val de Loire,0.0,3.0303030303030303,12.121212121212121,3.0303030303030303,3.0303030303030303,0.0,9.090909090909092,6.0606060606060606,9.090909090909092,9.090909090909092,18.181818181818183,0.0,15.151515151515152,0.0,0.0,12.121212121212121
