,Presse Nationale
immigration,0.8359456635318705
economie,4.911180773249739
securite,8.672936259143157
gouvernement,22.570532915360502
vaccin,21.630094043887148
candidats,17.13688610240334
delinquance,5.22466039707419
environnement_cat_nat,2.2988505747126435
environnement,2.089864158829676
europe,5.015673981191222
pouvoir_dachat,11.180773249738767
education,4.179728317659352
violence_aux_femmes,1.2539184952978055
emploi,10.13584117032393
retraite,1.8808777429467085
industrie,0.7314524555903866
mobilite_transport,1.8808777429467085
