,Normandie,Nord,Grand Est,Bourgogne,Auvergne,PACA,Occitanie,Ile de France,Aquitaine,Pays de la Loire,Bretagne,Centre Val de Loire
zemmour,0,4,1,0,2,0,10,0,8,0,0,4
lepen,0,2,2,1,0,0,6,0,4,8,0,1
macron,0,6,12,2,1,0,12,3,14,18,0,0
pecresse,4,1,0,0,0,1,0,1,3,1,0,0
hidalgo,2,2,3,1,0,0,0,3,0,9,0,0
melenchon,0,0,0,0,0,0,2,0,5,2,0,0
jadot,0,0,2,0,0,0,5,0,0,0,0,0
autres,2,1,0,0,0,0,0,0,4,1,0,0
