,Presse Nationale
immigration,1.2269938650306749
economie,5.930470347648262
securite,6.952965235173824
gouvernement,25.766871165644172
vaccin,15.132924335378323
candidats,19.836400817995912
delinquance,3.6809815950920246
environnement_cat_nat,1.8404907975460123
environnement,4.294478527607362
europe,2.658486707566462
pouvoir_dachat,8.793456032719837
education,3.885480572597137
violence_aux_femmes,0.6134969325153374
emploi,6.134969325153374
retraite,2.2494887525562373
industrie,0.6134969325153374
mobilite_transport,5.521472392638037
