,Normandie,Nord,Grand Est,Bourgogne,Auvergne,PACA,Occitanie,Ile de France,Aquitaine,Pays de la Loire,Bretagne,Centre Val de Loire
zemmour,0,0,6,2,0,0,1,2,3,2,0,0
lepen,0,0,0,0,0,0,1,0,0,2,0,0
macron,2,10,4,0,0,0,3,1,6,6,0,0
pecresse,0,1,0,0,0,0,2,0,0,4,0,0
hidalgo,0,0,0,0,0,0,2,0,5,0,0,0
melenchon,0,0,0,0,0,0,0,0,1,0,0,0
jadot,0,0,0,0,0,0,6,0,0,0,0,0
autres,0,1,0,0,0,1,4,2,2,2,0,0
