,Presse Nationale
immigration,0.24213075060532688
economie,4.600484261501211
securite,7.021791767554479
gouvernement,21.54963680387409
vaccin,18.159806295399516
candidats,19.612590799031477
delinquance,3.14769975786925
environnement_cat_nat,2.663438256658596
environnement,4.600484261501211
europe,7.506053268765134
pouvoir_dachat,7.506053268765134
education,5.326876513317192
violence_aux_femmes,0.0
emploi,9.927360774818402
retraite,2.1791767554479415
industrie,0.48426150121065376
mobilite_transport,3.631961259079903
